歌唱,センター,作中時期,曲名,コスト,効果1,効果1 タイプ,効果2,効果2 タイプ,パワー,シールド,ヒール,ダメージ
蓮ノ空女学院スクールアイドルクラブ,藤島 慈,102期,On your mark(102期Ver.),9,"【ユニーク】
次の相手のターン、相手のボルテージが3になる",【ユニーク】,"【ユニゾン】
このターン中、センターが「乙宗 梢」「夕霧 綴理」「藤島 慈」いずれかのカードを使用する度にコストを2減らす",【ユニゾン】,3,3,3,
蓮ノ空女学院スクールアイドルクラブ,村野 さやか,103期,Dream Believers,3,"【アンコール】
このターンの最後に使用した時、「Dream Believers」をドローする",【アンコール】,,,1,2,,
蓮ノ空女学院スクールアイドルクラブ,大沢 瑠璃乃,103期,On your mark,2,"【ハンド】
カードを1枚引く",【ハンド】,,,1,,,
蓮ノ空女学院スクールアイドルクラブ,乙宗 梢,103期,永遠のEuphoria,5,"【ユニーク】
付与されているシールドの分相手にダメージを与え、シールドを0にする",【ユニーク】,,,,,2,
蓮ノ空女学院スクールアイドルクラブ,乙宗 梢,103期,DEEPNESS,5,"【ユニーク】
次に使用するカードのコストを3下げる",【ユニーク】,,,5,,,
蓮ノ空女学院スクールアイドルクラブ,藤島 慈,103期,夏めきペイン,4,"【ボルテージ】
ボルテージが7以上の時、相手に3ダメージ与える",【ボルテージ】,"【ユニーク】
このカードを使用した時、ターンエンドする",【ユニーク】,2,,3,
蓮ノ空女学院スクールアイドルクラブ,藤島 慈,103期,Yup! Yup! Yup!,4,"【ボルテージ】
ボルテージを2回復する",【ボルテージ】,"【ボルテージ】
ターン終了時、残りボルテージの数だけカードを引く",【ボルテージ】,,,2,
蓮ノ空女学院スクールアイドルクラブ,日野下 花帆,103期,明日の空の僕たちへ,3,"【ユニゾン】
このターン中、「Legato」を使用している場合、カードを2枚引く",【ユニゾン】,,,1,3,,
蓮ノ空女学院スクールアイドルクラブ,藤島 慈,103期,Legato,5,"【ハンド】
カードを2枚引く",【ハンド】,"【ダメージ】
体力が5以下の時、相手に10ダメージ",【ダメージ】,,,2,3
蓮ノ空女学院スクールアイドルクラブ,大沢 瑠璃乃,103期,Trick & Cute,3,"【ハンド】
手札が4枚以下の時、相手に2ダメージ与える",【ハンド】,,,,2,,
蓮ノ空女学院スクールアイドルクラブ,夕霧 綴理,103期,ツバサ・ラ・リベルテ,4,"【ダメージ】
このターン中、自分へのダメージが0になる",【ダメージ】,,,,,,
スリーズブーケ＆DOLLCHESTRA＆みらくらぱーく！,日野下 花帆,103期,Link to the FUTURE,6,"【ハンド】
このカードのコストは、ターン中に使用したカードの枚数分小さくなる
※2より小さくならない",【ハンド】,,,1,2,2,
蓮ノ空女学院スクールアイドルクラブ,藤島 慈,103期,抱きしめる花びら,3,"【ユニーク】
このターン中、次に使用するシールドかヒール効果を2倍にする",【ユニーク】,"【ダメージ】
体力が10以下の時、「Legato」を引く",【ダメージ】,,,,3
蓮ノ空女学院スクールアイドルクラブ,日野下 花帆,103期,STEP UP!,1,"【ハンド】
手札をランダムに1枚捨てる",【ハンド】,"【ユニーク】
SPを回復する",【ユニーク】,,,,3
スリーズブーケ,日野下 花帆,103期,水彩世界,4,"【ハンド】
カードを1枚引く",【ハンド】,,,,,3,
スリーズブーケ,乙宗 梢,103期,Reflection in the mirror,3,"【ハンド】
手札をランダムに1枚捨てる",【ハンド】,,,2,3,,
スリーズブーケ,日野下 花帆,103期,フォーチュンムービー,2,"【ユニゾン】
このターン中、センターが「乙宗 梢」のカードを使用する度にカードを1枚引く",【ユニゾン】,,,,,,3
スリーズブーケ,乙宗 梢,103期,Mix Shake!!,6,"【ハンド】
手札が5枚以上の時、コストを3にする",【ハンド】,,,4,1,,
スリーズブーケ,日野下 花帆,103期,Holiday∞Holiday,3,"【ハンド】
手札が6枚以上の時、シールドを3付与する",【ハンド】,,,1,,1,
スリーズブーケ,乙宗 梢,103期,謳歌爛漫,6,"【ハンド】
カードを1枚引く",【ハンド】,,,,,6,
スリーズブーケ,乙宗 梢,103期,眩耀夜行,4,"【ハンド】
手札をランダムに1枚捨てる",【ハンド】,,,,4,,
スリーズブーケ,乙宗 梢,103期,Kawaii no Susume,4,"【ユニゾン】
このターン中、ユニットが「スリーズブーケ」のカードを使用している場合、コストを2にする",【ユニゾン】,,,,2,2,
スリーズブーケ,日野下 花帆,103期,残陽,2,"【ハンド】
手札が6枚以上の時、3ヒールする",【ハンド】,,,,3,,4
スリーズブーケ,乙宗 梢,103期,Dear my future,3,"【ハンド】
捨札からコスト4以下のカードを使用する",【ハンド】,,,,,,1
スリーズブーケ,乙宗 梢,103期,素顔のピクセル,5,"【ボルテージ】
ボルテージを3回復する",【ボルテージ】,,,,4,,
スリーズブーケ,乙宗 梢,103期,シュガーメルト,1,"【ハンド】
手札をランダムに1枚捨てる",【ハンド】,,,,2,,2
スリーズブーケ,乙宗 梢,103期,千変万華,6,"【ハンド】
カードを2枚引く",【ハンド】,,,3,,2,
スリーズブーケ,日野下 花帆,103期,Special Thanks,2,"【ハンド】
カードを1枚引く",【ハンド】,,,,,1,
DOLLCHESTRA,夕霧 綴理,103期,AWOKE,3,"【ダメージ】
体力が10以下の時、相手に1ダメージ与える",【ダメージ】,"【ダメージ】
体力が5以下の時、相手に2ダメージ与える",【ダメージ】,1,,,1
DOLLCHESTRA,村野 さやか,103期,Sparkly Spot,2,"【ダメージ】
このターン中、既にダメージを受けている場合、シールドを3付与する",【ダメージ】,,,1,,,4
DOLLCHESTRA,夕霧 綴理,103期,ツキマカセ,4,"【ハンド】
手札をランダムに1枚捨てる",【ハンド】,,,,,6,
DOLLCHESTRA,村野 さやか,103期,希望的プリズム,2,"【ダメージ】
このターン中、ダメージを受けるたびに相手に1ダメージ",【ダメージ】,,,,,,
DOLLCHESTRA,夕霧 綴理,103期,スケイプゴート,3,"【ユニーク】
次に使用するカードのパワーが2倍になる",【ユニーク】,,,,2,,5
DOLLCHESTRA,村野 さやか,103期,Tragic Drops,4,"【ダメージ】
このターン中、既にダメージを5以上受けている場合、2ヒールする",【ダメージ】,"【ダメージ】
このターン中、既にダメージを7以上受けている場合、相手は次のターンドローできない",【ダメージ】,2,,,2
DOLLCHESTRA,夕霧 綴理,103期,Mirage Voyage,3,"【ダメージ】
このターン中、既にダメージを受けている場合、カードを1枚引く",【ダメージ】,,,1,,,
DOLLCHESTRA,夕霧 綴理,103期,ジブンダイアリー,2,"【ハンド】
カードを1枚引く",【ハンド】,,,,1,,
DOLLCHESTRA,村野 さやか,103期,青春の輪郭,5,"【ダメージ】
このターン中、既にダメージを受けている場合、コストを2にする",【ダメージ】,,,3,,,1
DOLLCHESTRA,夕霧 綴理,103期,パラレルダンサー,4,"【ダメージ】
このターン中、既にダメージを受けている場合、相手のシールドを0にする",【ダメージ】,,,,1,,3
DOLLCHESTRA,村野 さやか,103期,Take It Over,3,"【ユニゾン】
このターン中、ユニットが「DOLLCHESTRA」のカードを使用していた場合、相手に2ダメージ与える",【ユニゾン】,,,,,2,
DOLLCHESTRA,夕霧 綴理,103期,飴色,1,"【ダメージ】
このターン中、受けるダメージを2倍にする",【ダメージ】,"【オープニング】
このターンの最初に使用した場合、3ヒールする",【オープニング】,,,,
DOLLCHESTRA,夕霧 綴理,103期,KNOT,6,"【ダメージ】
このターン中、ダメージを受けた回数の分コストを減らす",【ダメージ】,,,5,,,2
DOLLCHESTRA,夕霧 綴理,103期,青とシャボン,2,"【ダメージ】
このターン中、ダメージを受けた回数の分ヒールする",【ダメージ】,,,,1,,
みらくらぱーく！,大沢 瑠璃乃,103期,ド！ド！ド！,2,"【ユニゾン】
手札からユニットが「みらくらぱーく！」のカードをランダムに1枚選び、コストを1下げる",【ユニゾン】,,,,1,,
みらくらぱーく！,大沢 瑠璃乃,103期,ココン東西,2,"【ダメージ】
このターン中、使用したカードの数だけ相手にダメージを与える",【ダメージ】,,,1,,,
みらくらぱーく！,藤島 慈,103期,ハクチューアラモード,2,"【ボルテージ】
ボルテージが4以下の時、相手に1ダメージ与える",【ボルテージ】,"【ボルテージ】
ボルテージが3以下の時、カードを1枚引く",【ボルテージ】,1,,,1
みらくらぱーく！,藤島 慈,103期,アイデンティティ,3,"【ボルテージ】
ボルテージが4以上の時、相手に2ダメージ与える",【ボルテージ】,"【ハンド】
カードを1枚引く",【ハンド】,1,,1,
みらくらぱーく！,藤島 慈,103期,天才なのかもしれない,2,"【ボルテージ】
ボルテージを1回復する",【ボルテージ】,,,1,1,,
みらくらぱーく！,藤島 慈,103期,ノンフィクションヒーローショー,2,"【ボルテージ】
ボルテージが5以上の時、相手に2ダメージ与える",【ボルテージ】,,,1,,,
みらくらぱーく！,大沢 瑠璃乃,103期,ミルク,3,"【オープニング】
このターンの最初に使用した時、2ヒールする",【オープニング】,,,,2,,
みらくらぱーく！,藤島 慈,103期,以心☆電信,3,"【ボルテージ】
ボルテージが4以下の時、このカードの効果を2倍にする",【ボルテージ】,"【アンコール】
ターン終了時、「以心☆電信」をドローする",【アンコール】,2,1,,
みらくらぱーく！,大沢 瑠璃乃,103期,BANG YOU グラビティ,4,"【ユニゾン】
このターン中、センターが「藤島 慈」のカードを使用する度にボルテージを1回復する",【ユニゾン】,"【ハンド】
センターが「藤島 慈」のカードを1枚引く",【ハンド】,,2,,
みらくらぱーく！,大沢 瑠璃乃,103期,マハラジャンボリー,1,"【アンコール】
ターン終了時、「マハラジャンボリー」をドローする",【アンコール】,,,1,,,1
るりのとゆかいなつづりたち,大沢 瑠璃乃,103期,Colorfulness,4,"【ハンド】
このターン中、カードを使用する度にシールドを1付与する",【ハンド】,"【アンコール】
このターンの最後に使用した時、3ヒールする",【アンコール】,,3,,
かほめぐ♡じぇらーと,藤島 慈,103期,ハッピー至上主義！,3,"【ボルテージ】
ボルテージが5以上の時、相手に2ダメージ与える",【ボルテージ】,"【ハンド】
手札が6枚以上の時、相手に2ダメージ与える",【ハンド】,1,,,
蓮ノ休日,村野 さやか,103期,Pleasure Feather,5,"【ダメージ】
このターン中、既にダメージを受けている場合、カードを2枚引く",【ユニゾン】,"【ユニゾン】
このターン中、センターが「乙宗 梢」「村野 さやか」いずれかのカードを使用している場合、シールドを6付与する",【ユニゾン】,,1,,1
村野 さやか,村野 さやか,103期,Runway,4,"【ハンド】
ユニットが「DOLLCHESTRA」のカードを2枚引く",【ハンド】,"【ユニゾン】
このターン中、センターが「村野さやか」のカードを使用したとき、相手に1ダメージ",【ユニゾン】,,,,2
